AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
217.62857055664062,327.9171142578125,184.07000732421875,246.63131713867188,178.30999755859375,327.5494384765625,251.9794464111328,46.402462005615234,147.76771545410156,92.63951110839844,492.2867431640625,352.31231689453125,201.39212036132812,185.31082153320312,157.02207946777344,204.37254333496094,66.49844360351562,264.0727844238281,124.51222229003906,111.20498657226562,414.6962585449219,72.78032684326172,109.18309783935547,162.70896911621094,348.2724914550781,209.389892578125,566.1459350585938,264.4491882324219,38.89702606201172,69.24762725830078
219.12355041503906,326.41204833984375,167.89999389648438,230.36642456054688,169.9499969482422,317.0270080566406,242.9282684326172,45.68767166137695,143.82711791992188,89.17485809326172,463.26849365234375,349.2173767089844,200.51600646972656,184.783203125,160.32350158691406,195.70468139648438,67.8389892578125,271.8746337890625,123.30126190185547,112.55328369140625,406.1261901855469,72.93801879882812,107.24356842041016,167.01998901367188,345.16131591796875,211.8387908935547,583.0086059570312,265.0955810546875,39.011295318603516,67.92797088623047
208.5690155029297,317.8410339355469,161.02000427246094,224.05882263183594,167.02999877929688,313.0057373046875,237.9894256591797,43.80768585205078,140.06080627441406,87.39275360107422,451.8304443359375,343.8921203613281,196.5980224609375,179.10643005371094,157.50070190429688,191.53781127929688,66.63543701171875,263.7780456542969,122.68101501464844,109.72968292236328,392.86334228515625,70.38552856445312,100.42524719238281,165.0363311767578,337.0503845214844,205.99305725097656,563.3684692382812,255.01205444335938,37.8972282409668,67.0647201538086
206.53585815429688,321.4864196777344,161.92999267578125,229.2159881591797,165.0399932861328,322.5303039550781,237.40196228027344,44.21893310546875,138.67625427246094,89.5730972290039,462.85504150390625,347.7239685058594,195.7021942138672,182.5164031982422,155.2737274169922,196.88397216796875,66.5865249633789,265.3599853515625,122.9566879272461,108.5963363647461,397.29754638671875,71.44989013671875,104.22431182861328,165.06576538085938,342.05010986328125,205.6671905517578,561.7770385742188,256.8218994140625,38.33523178100586,67.21356201171875
209.1171875,305.40966796875,162.77000427246094,226.9151153564453,163.24000549316406,321.89794921875,239.01504516601562,44.17976379394531,137.88232421875,85.5807876586914,465.6013488769531,336.4151306152344,194.83590698242188,182.5164031982422,155.20533752441406,196.94293212890625,66.9876937866211,264.6820373535156,120.9285659790039,109.90554809570312,396.1243591308594,71.56814575195312,98.88563537597656,166.96107482910156,337.6666259765625,206.74351501464844,559.5333251953125,255.0915985107422,38.354278564453125,66.39000701904297
212.59547424316406,317.32305908203125,165.8000030517578,231.6160430908203,168.8699951171875,332.1338806152344,248.0562744140625,44.874969482421875,139.8961944580078,85.5807876586914,478.1614685058594,342.2513122558594,196.70631408691406,188.19317626953125,156.49464416503906,200.53981018066406,67.25189971923828,266.4703063964844,123.19296264648438,111.30268859863281,400.3597412109375,73.11540985107422,104.94413757324219,167.79576110839844,340.64862060546875,209.02452087402344,559.69140625,258.3831787109375,38.58280563354492,67.13418579101562
215.51568603515625,315.1730041503906,166.94000244140625,235.8905487060547,167.91000366210938,334.208740234375,251.4517059326172,44.5224723815918,140.3802947998047,85.82968139648438,482.5811767578125,342.5461120605469,195.1410675048828,188.69583129882812,156.88534545898438,202.2498016357422,67.20296478271484,263.2474365234375,122.2478256225586,111.91822814941406,403.6704406738281,73.26322937011719,104.72418975830078,167.47171020507812,343.5610046386719,209.8144989013672,552.2979125976562,258.8315734863281,38.80181121826172,67.42192840576172
217.0522918701172,312.7394714355469,166.8000030517578,235.09713745117188,164.1300048828125,332.0054626464844,250.23692321777344,43.92518615722656,140.40936279296875,85.5708236694336,477.8957214355469,339.7655334472656,193.7235107421875,186.75416564941406,156.16256713867188,202.63307189941406,66.70392608642578,264.77044677734375,121.45037078857422,110.87279510498047,404.4559020996094,73.55889129638672,108.9931411743164,163.80882263183594,341.1754150390625,207.0989990234375,558.7523803710938,258.9610900878906,38.59232711791992,68.16609954833984
220.78407287597656,316.1112365722656,170.22999572753906,237.0211639404297,168.75999450683594,334.74224853515625,253.51287841796875,44.424556732177734,139.56700134277344,85.22237396240234,484.2348327636719,343.95111083984375,193.66444396972656,188.24246215820312,154.7071990966797,204.35287475585938,66.9876937866211,265.60565185546875,123.40955352783203,111.76189422607422,411.6142272949219,77.36298370361328,116.11138153076172,164.28016662597656,346.98028564453125,208.23458862304688,567.598876953125,259.2002258300781,38.83037567138672,67.60053253173828
221.23309326171875,315.4075622558594,170.10000610351562,241.75186157226562,168.5,333.5467834472656,254.2298126220703,44.493099212646484,140.07046508789062,85.9192886352539,490.88897705078125,349.4433898925781,194.52088928222656,189.55332946777344,154.79510498046875,206.6132049560547,67.1051254272461,266.4310302734375,124.21686553955078,110.97050476074219,414.4477233886719,77.3826904296875,118.05091094970703,165.7630157470703,350.0318298339844,211.40431213378906,572.966064453125,260.2066650390625,38.94464111328125,68.12641143798828
224.22650146484375,318.0072326660156,177.58999633789062,247.444580078125,176.41000366210938,341.5003662109375,261.6678771972656,47.51870346069336,142.1327667236328,88.39830017089844,491.2039794921875,353.77630615234375,195.36749267578125,191.1598663330078,155.3909149169922,207.90061950683594,67.17361450195312,270.0863037109375,125.19154357910156,110.70669555664062,419.34808349609375,81.30503845214844,122.8297348022461,164.89883422851562,354.3258361816406,213.71495056152344,572.90673828125,265.84637451171875,38.12575912475586,72.61128997802734
